Ticker,Year,Risk_Label,3Y_Stock_CAGR,Ann_Volatility,Promoter_Hold,Promoter_Pledge,Inst_Hold_Change,Board_Indep_Pct,Director_Tenure,CEO_Duality,Auditor_Quality,Auditor_Quit,Voting_Dissent,Whistleblower_Cnt,Profit_Growth,Governance_Ratio,Leverage_Risk,Liquidity,CEO_Pay_Gap,Div_Yield,Asset_Quality,Loan_Risk,Environ_Risk,Capex_Trap
Coal India,2023,1.0,0.358,0.265,0.6613,0.0,0.05,0.5,3.5,1.0,0.0,0.0,0.0012,0.0,0.62,0.677,0.0,1.6,4.0,0.095,0.0,0.0,1.0,0.18
Coal India,2024,1.0,0.442,0.248,0.6313,0.0,1.0,0.5,1.5,1.0,0.0,0.0,0.0015,0.0,0.18,0.562,0.0,1.7,4.0,0.059,0.0,0.0,1.0,0.23
NMDC,2020,1.0,-0.165,0.485,0.6965,0.0,-0.05,0.5,2.5,1.0,0.0,0.0,0.0,0.0,-0.13,0.251,0.0,2.4,4.0,0.055,0.0,0.0,1.0,1.0
NMDC,2021,1.0,-0.052,0.421,0.6965,0.0,0.0,0.5,3.1,1.0,0.0,0.0,0.0,0.0,0.3,0.302,0.0,2.2,4.0,0.078,0.0,0.0,1.0,1.0
NMDC,2022,1.0,0.156,0.352,0.6079,0.0,0.05,0.5,3.5,1.0,0.0,0.0,0.0,0.0,0.66,0.425,0.0,2.1,5.0,0.112,0.0,0.0,1.0,1.0
NMDC,2023,1.0,0.245,0.314,0.6079,0.0,0.05,0.5,2.8,1.0,0.0,0.0,0.0,0.0,-0.03,0.341,0.0,1.8,5.0,0.095,0.0,0.0,1.0,0.0
NMDC,2024,1.0,0.482,0.295,0.6079,0.0,1.0,0.5,1.5,1.0,0.0,0.0,0.0,0.0,0.006,0.313,0.0,1.9,5.0,0.038,0.0,0.0,1.0,0.0
SAIL,2020,1.0,-0.245,0.552,0.75,0.0,-0.05,0.5,2.2,1.0,0.0,0.0,0.0,0.0,-0.09,0.035,5.8,0.82,3.0,0.0,0.0,0.0,1.0,1.0
SAIL,2021,1.0,0.075,0.481,0.65,0.0,0.05,0.5,2.5,1.0,0.0,0.0,0.0,0.0,0.9,0.103,3.2,0.85,3.0,0.025,0.0,0.0,1.0,1.0
SAIL,2022,1.0,0.368,0.425,0.65,0.0,0.05,0.5,3.0,1.0,0.0,0.0,0.0,0.0,2.64,0.213,1.8,0.95,3.0,0.085,0.0,0.0,1.0,1.0
